Generation,bridging-capital-weight,innovation-diffusion-rate,policy-effectiveness,cultural-diffusion-rate,Obj_Innov_Neg,Obj_Div_Neg,Obj_Gini
1,0.6234897555375004,0.1553366228684596,0.6130033010530405,0.4586488523954513,-366923.9968086095,-0.6038951549091308,0.1149617083524231
1,0.641328169139375,0.1705265676961313,0.592941018104284,0.1300487238686116,-454773.23786626186,-0.5977989072071153,0.1157427425318085
1,0.8398815210314088,0.1018991763043018,0.510888884466533,0.3765151038510889,-453101.1736902296,-0.6169400423905017,0.115738442850565
1,0.6538660110683944,0.0862453497554812,0.8673205056421992,0.3160675587500835,-484093.4142132827,-0.5571306911875232,0.1097301448041494
1,0.506064922529373,0.1570170585193918,0.2950064428055194,0.3843858799545832,-326422.4701040094,-0.6152854003452198,0.1142267083612413
1,0.5256295231622541,0.0298096046741425,0.9649677439797356,0.2008181119442587,-372058.3944566493,-0.5697360755653476,0.1049653726166215
1,0.1878247425654683,0.0784983552025165,0.2318998784621384,0.4206139963461934,-383210.0906157942,-0.626741353163484,0.1200958830016412
1,0.849044521859272,0.1211366297311408,0.8060357075271236,0.3151588777217391,-516594.77324529423,-0.5956449504225657,0.1146929327878893
1,0.371854569870106,0.0954148011274699,0.1276206864960696,0.1112534329731362,-444257.30921549135,-0.5916614127367421,0.1076207546594585
1,0.2740483886137183,0.0014183657206332,0.6457208955749478,0.3599546917543465,-422758.6425886042,-0.6116591050832144,0.1187116413304759
1,0.3751469964966418,0.0633476333113928,0.6913370352777413,0.0892859390871859,-411699.7841694326,-0.6151995042653149,0.1204845827986303
1,0.0168272846802129,0.0607017853199021,0.9990258823239376,0.1310733980949947,-367340.9727933747,-0.6027340660971673,0.1176802906480007
1,0.9616571936637868,0.1449579881547067,0.5412268555474342,0.1384456020226854,-369879.3587059601,-0.5956379878935626,0.1162659403309079
1,0.6603553805205233,0.0491104534486355,0.7685169988962544,0.1058373713037552,-479053.1732860639,-0.5885304758819243,0.1229903502480945
1,0.996141190118628,0.0486430928612654,0.2568674672271027,0.0365950361954829,-444988.1995714454,-0.5901961459443242,0.1213187150307734
1,0.9716899756197548,0.1549328269847464,0.7911339481728052,0.37963425026979,-450279.0387279567,-0.577929109400724,0.1223197889861307
1,0.2952342556626958,0.1693996741267459,0.1244603325154798,0.3667952305368517,-429077.1428692408,-0.592025176940538,0.1150959658343947
1,0.5118216247002567,0.190092739265187,0.1441596127196337,0.4743247235686219,-288951.79908721644,-0.5911219966167516,0.1100990257202802
1,0.0395928766642028,0.1057178526520043,0.4593358828854037,0.0311747895749378,-400626.9002619307,-0.5576600121305504,0.1099522496166625
1,0.8552269742870702,0.1722566992355337,0.8765370964165805,0.2359548596793951,-338746.15373756026,-0.5800537264040245,0.1118947813516145
1,0.8050548331450097,0.1927341745689942,0.1505248304211774,0.2411061940996682,-438423.452504907,-0.5544760810139697,0.1140294053849406
1,0.2578031189967366,0.1526257065088106,0.6978935706830813,0.0643366061585847,-310523.28490406426,-0.5845020508779623,0.1125792512960412
1,0.3762385014280942,0.0841842789234925,0.6649842463619607,0.2279644815218744,-340540.3762935101,-0.5657519647365238,0.1124131326613717
1,0.5969877305237564,0.1835384514341825,0.689630155447081,0.2501782153684355,-403112.1693227008,-0.584086108721372,0.1134162385869141
1,0.2012032007246644,0.1976437802440424,0.7583058620038184,0.1798934632463051,-351159.53811440896,-0.5910271108660629,0.1134681723459559
1,0.1479220357849565,0.1639253438238554,0.6832869060032571,0.3935484707774005,-375673.6513335528,-0.6005671655419832,0.1197596657791702
1,0.3900745519398617,0.1949385625764578,0.6252614844151068,0.3468114173514576,-419557.0503753801,-0.5931658017916146,0.119203632906881
