bridging-capital-weight,innovation-diffusion-rate,policy-effectiveness,cultural-diffusion-rate,Obj_Innov_Neg,Obj_Div_Neg,Obj_Gini
0.18537843023633296,0.18496159407987015,0.2630828301118688,0.40132089159953377,-524915.4555903936,-0.5770139653523157,0.11631258227964722
0.6006507500149054,0.10784839518505683,0.03368774647036529,0.49175061803615905,-485839.0231762549,-0.6046921689940357,0.1089826574536314
0.8763935448510469,0.19963312665147356,0.08826469428458546,0.01605793883036198,-344563.3354222051,-0.6003340095611194,0.10648094151530248
0.7700301388610776,0.06955317194910131,0.7090354581265645,0.1252800858257534,-514942.53331483214,-0.6371534797210082,0.11632018079332425
0.8708111159882403,0.025954485023631905,0.22820378669171884,0.31339608995462487,-460759.56943132903,-0.5908527806016755,0.10533591041856175
0.031546048975049285,0.12194733609016607,0.1869510747621405,0.206239550818535,-552942.249084777,-0.5879826441459659,0.12006971784981602
0.8297535612550315,0.046757985851663936,0.18513691309547203,0.4940999013525335,-317662.78937245667,-0.6578839063181914,0.1187147183804593
0.56103021925571,0.006735394529036251,0.8006326726806163,0.11648713692051021,-462731.58907694195,-0.6209027274474259,0.11065401461936589
0.9483819239654758,0.046757786116192655,0.18706327411968132,0.49472607345414177,-406187.4681588377,-0.6245185321188316,0.10947788715248967
0.9003219318082222,0.043095791536144464,0.18706327411968132,0.49472607345414177,-430487.35818980343,-0.6330316144812861,0.11200700126780112
0.8786171344657746,0.046757985851663936,0.08810434321497501,0.4940999013525335,-375903.0893090228,-0.6260079505419771,0.11101004769052672
0.5594659592299084,0.19481504521545084,0.6885126199201209,0.11648713692051021,-390981.0249349625,-0.6388525197312077,0.12142596168880422
0.306331924618259,0.18124169770003057,0.4280911898712949,0.4824200235741928,-489667.43467745587,-0.6051261793820095,0.1133967917962588
0.013951572975597015,0.185676151156059,0.8081891214278811,0.10384532726917384,-371214.83858449,-0.6245707468845125,0.10756616803630126
0.25946846383385824,0.02808564975982898,0.21766848818002854,0.33479395981351073,-367333.23627100314,-0.6448010521065363,0.11864403474472891
0.5791148036524507,0.006735394529036251,0.8006326726806163,0.1163911711048917,-507481.9422359994,-0.5714463402888372,0.11270678844456347
0.8325647905590459,0.0038448828580341216,0.8006326726806163,0.12566730147942962,-435713.2511404065,-0.6088321247342552,0.1065354805736087
